2,674
6.6221,672.126
11.6017,672
16.6017,672
20.9961,670
25.9961,670
30.9961,670
35.9961,670
40.8768,669.031
45.873,669
50.873,669
55.7784,668.044
60.774,668
65.774,668
70.774,668
75.774,668
80.6471,668.659
85.3699,670.228
90.2904,671.097
95.0338,672.678
99.5612,674.781
104.033,677.017
107.75,680.187
111.118,683.839
114.989,686.989
118.524,690.524
122.271,693.794
126.511,696.444
130.239,699.652
133.46,703.46
136.445,707.335
138.451,711.903
140.687,716.375
142.405,721.025
143.879,725.759
146.143,730.215
148.85,734.417
151.456,738.683
153.991,742.982
156.123,747.492
157,752.385
157,757.385
157,762.385
157,767.385
157,772.385
